t,lum,lum-error
-2.8921121,5.36E+43,2.37E+42
-0.63291768,5.40E+43,2.33E+42
2.3793415,5.42E+43,2.54E+42
3.8854711,5.42E+43,2.32E+42
6.8977303,5.39E+43,2.10E+42
9.1569247,5.35E+43,2.27E+42
15.934508,5.18E+43,2.22E+42
20.076364,5.04E+43,2.18E+42
22.335559,4.97E+43,2.12E+42
26.100883,4.84E+43,2.14E+42
28.736609,4.75E+43,2.19E+42
30.619271,4.68E+43,2.11E+42
34.761128,4.54E+43,2.12E+42
39.656049,4.38E+43,2.18E+42
42.668308,4.29E+43,1.95E+42
46.0571,4.19E+43,1.90E+42
49.445891,4.10E+43,1.97E+42
51.328553,4.05E+43,1.96E+42
55.846942,3.94E+43,2.00E+42
64.88372,3.73E+43,1.87E+42
67.519446,3.68E+43,1.87E+42
71.28477,3.61E+43,1.82E+42
75.803159,3.53E+43,1.88E+42
88.981793,3.31E+43,1.76E+42
92.747117,3.25E+43,1.74E+42
96.512441,3.20E+43,1.68E+42
100.6543,3.14E+43,1.67E+42
304.73486,1.30E+43,1.00E+42
309.62978,1.27E+43,1.01E+42
313.77164,1.23E+43,8.96E+41
319.04309,1.20E+43,9.40E+41
325.06761,1.16E+43,9.09E+41
332.97479,1.10E+43,9.06E+41
356.69633,9.41E+42,8.66E+41
360.08512,9.13E+42,8.18E+41
364.98004,8.83E+42,7.98E+41
370.62803,8.49E+42,8.20E+41
380.41787,7.80E+42,7.56E+41
383.80666,7.56E+42,7.22E+41
387.57199,7.19E+42,6.87E+41
